ref_organ,ref_organ_part,parent,child,parent_label,child_label
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_proper_hepatic_artery,FMA:14772,UBERON:0005436,Hepatic artery proper,common hepatic artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_vena_cava_a,FMA:10951,FMA:14340,inferior vena cava,Middle hepatic vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_middle_hepatic_vein,FMA:14340,FMA:10951,Middle hepatic vein,inferior vena cava
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_anterior_cardiac_vein,FMA:76767,UBERON:0001625,Anterior cardiac vein,right coronary artery
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_right_coronary_artery,UBERON:0001625,FMA:76767,right coronary artery,Anterior cardiac vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_rectal_vein_L,FMA:21242,UBERON:0018252,Inferior rectal vein,internal pudendal vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_internal_pudendal_vein_L,UBERON:0018252,FMA:21242,internal pudendal vein,Inferior rectal vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_vena_cava_a,FMA:10951,FMA:14338,inferior vena cava,Right hepatic vein
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_right_hepatic_vein,FMA:14338,FMA:10951,Right hepatic vein,inferior vena cava
https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#primary,https://purl.humanatlas.io/ref-organ/blood-vasculature-female/v1.3#VH_F_inferior_mesenteric_artery,UBERON:0001183,UBERON:0035040,inferior mesenteric artery,superior rectal artery
